label,clickTime,conversionTime,creativeID,userID,positionID,connectionType,telecomsOperator
0,170000,,3089,2798058,293,1,1
0,170000,,1259,463234,6161,1,2
0,170000,,4465,1857485,7434,4,1
0,170000,,1004,2038823,977,1,1
0,170000,,1887,2015141,3688,1,1
0,170000,,3293,1177829,3347,1,1
0,170000,,4793,1257450,1876,1,2
0,170000,,1456,764204,6086,1,3
0,170000,,4465,1438585,2426,2,3
0,170000,,985,1750317,5414,1,3
0,170000,,3465,2079582,6086,1,3
0,170000,,2764,2551467,977,1,1
0,170000,,997,2120928,5648,1,3
0,170000,,997,2292736,3498,1,1
0,170000,,4465,1119329,4635,3,3
0,170000,,3465,2256911,5013,1,1
0,170000,,3846,554021,932,1,1
0,170000,,6490,1666508,5347,1,1
0,170000,,5187,1082944,6850,2,3
0,170000,,1456,2437627,6086,1,3
0,170000,,4686,1658851,1613,1,1
0,170000,,4250,2009709,2831,1,1
0,170000,,4465,1746056,4113,1,2
0,170000,,3575,1111108,6905,1,3
0,170000,,3531,402769,3347,1,1
0,170000,,5187,2428743,6086,1,1
0,170000,,3465,90746,2931,1,1
0,170000,,2137,217320,2579,1,1
0,170000,,4250,1443907,6193,1,1
0,170000,,726,912898,2150,1,1
0,170000,,1087,2735855,7563,1,3
0,170000,,3745,636433,6161,1,1
0,170000,,3293,1287114,1613,1,3
0,170000,,1456,1035144,5358,2,1
0,170000,,4757,496624,2058,1,1
0,170000,,594,2767256,6849,1,1
0,170000,,2235,2771830,1385,0,1
0,170000,,5176,1580281,5648,1,3
0,170000,,1456,2020319,2831,1,1
0,170000,,5187,2648446,2426,2,2
0,170000,,2764,1149873,1385,1,1
0,170000,,4432,865987,5013,3,1
0,170000,,4250,2576879,2891,1,1
0,170000,,1259,1828019,2240,1,1
0,170000,,4432,447566,2071,2,1
0,170000,,5186,2664334,7563,2,1
0,170000,,6514,2326774,2281,1,1
0,170000,,4444,1706310,3457,2,1
0,170000,,1887,1455072,3688,1,1
0,170000,,2537,260228,2579,1,0
0,170000,,1259,2687344,7563,1,2
0,170000,,4465,30822,6995,1,1
0,170000,,1087,2131068,3347,1,1
0,170000,,4169,1050004,7563,1,1
0,170000,,4465,1948014,6667,1,1
0,170000,,1259,2090110,3347,1,1
0,170000,,3465,455096,2426,1,1
0,170000,,2137,2431934,2579,1,2
0,170000,,1675,1341039,990,1,3
0,170000,,2374,422668,7619,2,1
0,170000,,5588,1396504,2150,1,1
0,170000,,4432,2230567,6667,2,1
0,170000,,2137,216697,2579,1,2
0,170000,,2537,1770694,2579,1,1
0,170000,,1456,455555,3688,1,1
0,170000,,4793,329465,3347,1,1
0,170000,,1087,356301,6161,1,1
0,170000,,4465,677014,2426,1,1
0,170000,,520,1156145,5539,1,1
0,170000,,4465,1058493,3789,1,1
0,170000,,4465,956813,5686,1,1
0,170000,,784,1192225,7563,1,1
0,170000,,2537,260228,2579,1,0
0,170000,,1456,2419883,5510,1,1
0,170000,,1456,2802491,2967,1,1
0,170000,,3444,560971,2579,1,1
0,170000,,3745,1219132,4077,1,1
0,170000,,4465,1790449,6406,3,1
0,170000,,2230,1353550,2332,2,1
0,170000,,2849,373870,3322,1,3
0,170000,,1259,315222,6161,1,2
0,170000,,5187,743226,6068,2,1
0,170000,,1456,2011718,3688,1,1
0,170000,,2537,2655536,2579,1,1
0,170000,,5656,1132899,1848,1,1
0,170000,,4465,2396232,3674,1,1
0,170000,,4432,1349540,7440,1,3
0,170000,,3465,2426440,6667,2,1
0,170000,,5588,577338,2150,1,1
0,170000,,5187,811700,2426,0,1
0,170000,,1004,2279109,5414,1,1
0,170000,,594,2020218,7563,1,3
0,170000,,1456,1063816,1767,1,1
0,170000,,5187,53892,2831,1,1
0,170000,,4465,163313,4279,1,1
0,170000,,1259,502576,7563,1,1
0,170000,,3444,560971,2579,1,1
0,170000,,5187,1130191,3688,1,1
0,170000,,5588,1861307,2150,1,1
0,170000,,72,262409,2150,1,1
0,170000,,2284,1930828,7563,1,3
0,170000,,1259,2277789,3347,1,1
0,170000,,3465,255778,5013,1,1
0,170000,,2450,2506204,4522,1,3
0,170000,,4250,2226324,7352,2,1
0,170000,,5949,1964288,3347,1,1
0,170000,,1887,1535232,3688,1,1
0,170000,,6440,2315200,846,1,3
0,170000,,3250,913835,6086,2,3
0,170000,,6490,2341157,7563,1,1
0,170000,,1456,991149,4773,1,1
0,170000,,2522,1855022,6539,1,1
0,170000,,784,1884671,7563,1,1
0,170000,,2438,968673,1400,1,1
0,170000,,1004,813902,3365,1,3
0,170000,,2137,2370401,2579,1,0
0,170000,,3465,2681468,3150,1,2
0,170000,,4250,2617147,4292,3,1
0,170001,,2235,2593055,7149,2,1
0,170001,,2137,2493841,2579,1,2
0,170001,,5187,2054638,3494,1,1
0,170001,,1087,482664,7563,1,1
0,170001,,4465,2203709,6086,1,3
0,170001,,997,1845488,7563,1,1
0,170001,,3293,1246141,7563,1,2
0,170001,,6220,1582366,3331,1,2
0,170001,,2137,1208859,2579,1,0
0,170001,,5187,950808,3662,2,1
0,170001,,5187,1503324,3688,1,1
0,170001,,5886,362786,2150,1,1
0,170001,,2137,1805434,2579,1,1
0,170001,,2537,1921763,2579,1,2
0,170001,,4686,124576,5140,1,2
0,170001,,1259,732900,7563,1,1
0,170001,,1456,1670757,6667,1,1
0,170001,,1887,619221,6554,1,1
0,170001,,5187,1962042,5875,1,2
0,170001,,4465,1113766,5013,1,3
0,170001,,1887,1428946,4250,1,2
0,170001,,1456,684197,1722,2,1
0,170001,,2277,1490134,6539,1,1
0,170001,,5030,1431003,2150,1,2
0,170001,,985,222780,977,1,1
0,170001,,1675,727277,3150,1,1
0,170001,,1456,50953,1098,2,1
0,170001,,4793,1685668,3347,1,1
0,170001,,1087,1788225,3347,1,1
1,170001,181031.0,2137,703736,2579,1,1
0,170001,,4444,281973,3347,2,1
1,170001,170009.0,3981,2030308,2579,2,1
0,170001,,1259,1306721,3347,1,1
0,170001,,1887,201774,4455,1,3
0,170001,,3465,205605,1192,1,1
0,170001,,2849,136286,3322,1,2
0,170001,,3293,113199,3158,1,3
0,170001,,6036,1263826,3688,1,1
0,170001,,4444,354686,5347,2,1
0,170001,,1907,1349369,249,1,3
0,170001,,4793,2415633,7563,2,1
0,170001,,3465,1552328,5024,2,1
0,170001,,5187,1470472,1192,1,3
0,170001,,51,1746230,1385,2,1
0,170001,,3089,195578,3659,0,2
0,170001,,5187,2033318,3688,1,1
0,170001,,4432,2097233,3688,4,3
0,170001,,5209,377001,2579,1,1
0,170001,,2537,1548816,2579,1,2
0,170001,,2284,1323156,7563,1,3
0,170001,,4465,529471,1616,2,3
0,170001,,1675,499166,3789,1,1
0,170001,,3575,1678352,7014,1,3
0,170001,,6036,2392477,2415,1,1
0,170001,,4432,2360476,3789,2,2
0,170001,,2537,2124790,2579,1,2
0,170001,,1456,1036615,6086,1,3
0,170001,,5187,2062931,2931,1,1
0,170001,,1259,1407618,1017,1,1
0,170001,,2537,1409025,2579,1,2
0,170001,,1456,2695579,4250,1,1
0,170001,,2537,2124790,2579,1,2
0,170001,,3075,2572211,3498,1,1
0,170001,,1887,1756269,5909,1,1
0,170001,,5588,2525501,2150,1,1
0,170001,,1959,628659,3322,1,2
0,170001,,4465,673532,6411,1,1
0,170001,,1887,760045,1114,1,1
0,170001,,2137,1121581,2579,1,2
0,170001,,3465,2713331,4909,2,3
0,170001,,2764,2557181,977,1,2
0,170001,,3465,1764249,7434,1,1
1,170001,170010.0,3584,936876,3322,2,3
0,170001,,4465,601128,3150,0,1
0,170001,,4686,2052582,7563,1,1
0,170001,,3458,2031269,3322,1,0
1,170001,181027.0,2137,2619571,2579,1,2
0,170001,,3293,461527,7563,1,2
0,170001,,1543,1319414,2579,1,3
0,170001,,3465,1260261,2426,2,3
0,170001,,3465,513434,6118,1,1
0,170001,,5187,2478916,3150,1,3
0,170001,,4465,2398204,985,1,1
0,170001,,1438,915792,4522,1,1
0,170001,,5307,1240398,3322,2,3
0,170001,,2137,2721897,2579,1,3
0,170001,,3934,1997852,7014,1,0
0,170001,,5187,1178952,3688,1,1
0,170001,,3465,280370,2891,1,1
0,170001,,3444,530661,2579,1,2
0,170001,,1004,747178,6013,1,3
0,170001,,784,675775,7563,1,1
0,170001,,1887,2502038,4250,1,3
0,170001,,5176,1496208,3347,1,1
0,170001,,594,353144,7552,1,2
0,170001,,3584,638634,3322,2,1
0,170001,,198,504007,2150,1,1
0,170001,,5187,1622707,6936,0,3
0,170001,,1456,1354938,1153,2,1
0,170001,,1087,2497592,3347,1,1
0,170001,,997,853950,337,1,1
0,170001,,3465,737723,2831,1,1
0,170001,,4465,1269977,3150,2,1
0,170001,,3293,2135791,3600,1,1
0,170001,,4444,603060,3347,1,3
0,170001,,5886,1147583,2150,1,1
0,170001,,4432,796489,6667,1,1
0,170001,,5187,777058,3150,2,1
0,170001,,2982,834917,2665,2,1
0,170001,,1456,1492594,6667,2,1
0,170001,,6377,454323,6336,1,1
0,170001,,784,2757792,750,1,3
0,170001,,5187,90746,2931,1,1
0,170001,,5517,1743967,1278,1,1
0,170001,,2764,1161978,1848,2,3
0,170001,,615,2194550,2150,1,1
0,170001,,2137,1245093,2579,1,3
0,170001,,2537,565861,2579,1,2
0,170001,,3969,2148540,2150,1,3
0,170001,,1907,740988,2393,1,1
0,170001,,5186,1339218,3600,1,1
0,170001,,1617,1358424,2511,1,1
0,170001,,5187,2026215,6995,1,2
0,170001,,4465,1323732,7434,1,1
0,170001,,4250,2600034,990,2,1
0,170001,,198,1053036,2150,1,1
0,170001,,51,1206722,977,1,3
0,170001,,615,237784,2150,1,1
0,170001,,2374,284050,3322,1,0
0,170001,,3745,1329257,3600,1,1
0,170001,,6490,2655628,7563,1,3
0,170001,,5176,2169999,7563,1,1
1,170001,181031.0,2137,1411484,2579,1,2
0,170001,,2137,791194,2579,1,3
0,170001,,3934,905525,7642,1,1
0,170001,,1456,2689434,6995,1,1
0,170001,,2065,1808388,2579,1,3
