click,weekday,hour,bidid,timestamp,logtype,ipinyouid,useragent,IP,region,city,adexchange,domain,url,urlid,slotid,slotwidth,slotheight,slotvisibility,slotformat,slotprice,creative,bidprice,payprice,keypage,advertiser,usertag
0,6,0,81aced04baad90f9358aa39a4521cd6f,20130606000104828,1,Vhk7ZAnxDIuOjCn,windows_ie,115.45.195.*,216,219,1,trqRTJkrBoq7JsNr5SqfNX,f41292b3547399af082eccc2ad28f23c,null,mm_34022157_3445226_11175096,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,51,bebefa5efe83beee17a3d245e7c5085b,1458,10006_10110
0,6,0,572fa35095e8b6c30b1aa871e52b2d,20130606000105075,1,Z0n7Ce1GPe5-toc,windows_chrome,120.40.95.*,124,125,1,trqRTJjrXqf7FmMs,23510110004d0dcb593e2e3c1fc46e28,null,mm_13991432_2298120_9467354,336,280,0,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,87,bebefa5efe83beee17a3d245e7c5085b,1458,10031_13042_10110
0,6,0,e1e44b8a725b957a626991ecb15b56f,20130606000105119,1,VhkE1w9iOeu2eWz,windows_ie,60.163.144.*,94,98,1,5On-q5uvgN171m58uG,c2015a85d584d92f7da991154996254f,null,mm_10024662_3445902_11178359,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,33,bebefa5efe83beee17a3d245e7c5085b,1458,10006_10110
0,6,0,f250658c8cfc615c824f9552497d6325,20130606000105254,1,Vh1K15crOZ1djGn,windows_ie,123.120.244.*,1,1,1,DFpETuxoGQdcFNKbuKz,ddf8456b147b27d139d8927648a35269,null,mm_10024662_3445902_11178345,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,65,bebefa5efe83beee17a3d245e7c5085b,1458,10052_10006_10110
0,6,0,125f1b570af0b42341eb60a532544f0b,20130606000105284,1,Vh2EPxqxLTLWFgB,windows_chrome,222.75.4.*,368,369,1,trqRTvNNQIj7gspy,bdf36944310d166afefef12ea62f9c80,null,mm_12987374_1803472_13162557,728,90,0,1,0,48f2e9ba15708c0146bda5e1dd653caa,300,238,bebefa5efe83beee17a3d245e7c5085b,1458,10074_10083_13800_10077_10006_10063_10075_10048_10031_10059_10076_10024_10079_10057_10111
0,6,0,3a799517748639990b899fc611ec8830,20130606000105302,1,Vhk7ZAnyPTb9tbb,windows_ie,113.200.77.*,333,334,1,DFpETuxoGQdcFNKbuKz,8146fc56f12834fb2b2bff57c9f9836a,null,mm_10024662_3445902_11178345,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,65,bebefa5efe83beee17a3d245e7c5085b,1458,10006_10110
0,6,0,f4cc8a2ac2dd52b5cff548e5bbf45677,20130606000105333,1,Vhk7ZAnyPt1Zjsn,windows_chrome,110.190.28.*,276,290,1,51F-l19YBqq4gsz4JKTI,b9fba4ea313b45f353bb709ceccf258d,null,mm_10024662_3445902_11178361,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,6,bebefa5efe83beee17a3d245e7c5085b,1458,10006_10110
0,6,0,85f33913696667652389ad45d1131977,20130606000105426,1,VhKC1w5aOluc3hb,windows_ie,110.179.226.*,15,16,1,trqRTJz7P9T4wTKbuKz,93097d863ec4c63e8a4b367e80adabef,null,mm_31490035_2989693_10122932,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,129,bebefa5efe83beee17a3d245e7c5085b,1458,10083_10063_10075_10052_10057_10006_10077_14273_13678_13800_10024_10110
0,6,0,c854e61d821a2076054328212704906d,20130606000105431,1,VhT31p1oDv563VC,windows_ie,123.139.96.*,333,334,1,trqRTJjSLepEj9KbuKz,f6c316c10153a848dc736638e8cf85ec,null,mm_30203027_2687394_10556500,728,90,2,1,0,48f2e9ba15708c0146bda5e1dd653caa,300,57,bebefa5efe83beee17a3d245e7c5085b,1458,10063
0,6,0,8b089b1437f9937d4cd3bc8dcfc00285,20130606000105480,1,Vhk7ZAnyP8jWghz,windows_chrome,60.12.97.*,94,100,1,trqRTvp8gIc7gspy,fbaeed65fa8f345e9258dd138bedc4f1,null,mm_33208362_3404787_11159869,160,600,2,1,0,cb7c76e7784031272e37af8e7e9b062c,300,81,bebefa5efe83beee17a3d245e7c5085b,1458,13866_10111
0,6,0,72879b068fef3c7bc26c2d3a6c2afd51,20130606000105509,1,Vhk7ZAnyPIc9tbE,windows_chrome,121.225.158.*,80,84,1,trqRTuqbjoFf1mKYUV,de0cca5e48416f351b0cdff921ca803b,null,mm_34955955_3463088_11267874,728,90,0,1,0,48f2e9ba15708c0146bda5e1dd653caa,300,55,bebefa5efe83beee17a3d245e7c5085b,1458,10063_10031_13042_13866_10083_10006_10110
0,6,0,badb9e7c89f2bd6f44c1c1297374ead8,20130606000105540,1,Vhkr1wTND8Ffw-C,windows_ie,125.40.181.*,164,171,1,trqRTJa9jNuYgmn4JKTI,379370053657f1e8592aef794ea8e7b0,null,mm_10065060_2407762_11003286,728,90,1,1,0,48f2e9ba15708c0146bda5e1dd653caa,300,76,bebefa5efe83beee17a3d245e7c5085b,1458,10083_10110
0,6,0,44e9969505423047c9d16d53bd4c3dfd,20130606000105602,1,VhpTPJqQP9uo3Yz,windows_ie,183.27.100.*,216,222,1,DFpETuxoGQdcFNKbuKz,7a15ba6f6ead77d8518f5e485d9e412e,null,mm_10024662_3445902_11178345,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,12,bebefa5efe83beee17a3d245e7c5085b,1458,10024_10006_10110
0,6,0,c65a5c2c3b9ddcd0aed408fdd1263d85,20130606000105653,1,Vh1zLuNT3QTOaYj,windows_ie,183.190.105.*,15,23,1,DFpETJn8Penx1m54,f3b0faa2151d88f15ad3f553cecad905,null,mm_10941301_943789_11236963,728,90,0,1,0,48f2e9ba15708c0146bda5e1dd653caa,300,4,bebefa5efe83beee17a3d245e7c5085b,1458,13403
0,6,0,27b64ddca7748d9361111364cb7b5844,20130606000105654,1,VhnRPRTZD9E8XME,windows_ie,14.151.252.*,216,217,1,DFpETuxoGQdcFNKbuKz,7329a5c7d5b4ea4f5f215414f5805ef8,null,mm_10024662_3445902_11178345,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,12,bebefa5efe83beee17a3d245e7c5085b,1458,10067_10063_10006_10110
0,6,0,e3861168103b5915a1bd3915d80f447d,20130606000105696,1,Vhp2LrC83TKvJhb,windows_chrome,125.39.238.*,2,2,1,trqRTJkrXTq8wTK4wJB,d23c62f7e6ce83425f6e181b37138bcc,null,mm_12990852_3067164_10344354,336,280,2,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,76,bebefa5efe83beee17a3d245e7c5085b,1458,10063_13866_10006_10024_10111
0,6,0,84daf87fbf26c38331becc9d47ba48e8,20130606000105703,1,Vhk7ZAnyDQsLQCn,windows_ie,123.11.222.*,164,177,1,trqRTJuuBok7gspy,d3f0f84f7c18426d28b627ece6e4254c,null,mm_29625380_3451648_11208638,336,280,0,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,95,bebefa5efe83beee17a3d245e7c5085b,1458,10083_13800_10074_10063_10111
0,6,0,f83ba6ab0a1cef840869e3b4e3ac7460,20130606000105723,1,Vhk7ZAnyDUbWXZk,windows_ie,122.195.76.*,80,84,1,trqRTJCrPqmYgMuY5SqW,f1d1b06dfc0b9f7198478e5ec0e4e494,null,mm_10046361_1524847_11259844,336,280,0,1,0,77819d3e0b3467fe5c7b16d68ad923a1,300,166,bebefa5efe83beee17a3d245e7c5085b,1458,null
